model,model_name,base_lr,epochs_budget,steps_completed,final_train_loss,max_train_loss,final_grad_norm,final_val_loss,final_val_acc,stable,diverged,divergence_reason,largest_stable_lr,stress_test_type
VGG-A,vgg_a,0.0001,5,1760,2.2684593200683594,2.3565592765808105,1.728805661201477,2.2706996891021727,0.211,True,False,none,0.05,short_lr_stress_test
VGG-A,vgg_a,0.0005,5,1760,1.8699326515197754,2.3478949069976807,8.108832359313965,1.8249307279586793,0.3386,True,False,none,0.05,short_lr_stress_test
VGG-A,vgg_a,0.001,5,1760,1.639870524406433,2.341616630554199,8.794488906860352,1.601594519996643,0.4058,True,False,none,0.05,short_lr_stress_test
VGG-A,vgg_a,0.002,5,1760,1.4990863800048828,2.3384289741516113,12.214007377624512,1.3972349168777465,0.4824,True,False,none,0.05,short_lr_stress_test
VGG-A,vgg_a,0.005,5,1760,1.2020163536071777,2.3384289741516113,7.679155349731445,1.1292197192192077,0.5916,True,False,none,0.05,short_lr_stress_test
VGG-A,vgg_a,0.01,5,1760,1.0675188302993774,2.3384289741516113,6.154787063598633,0.9486982102394104,0.6522,True,False,none,0.05,short_lr_stress_test
VGG-A,vgg_a,0.02,5,1760,0.8087385892868042,2.3384289741516113,4.235326766967773,0.8091581175327301,0.7066,True,False,none,0.05,short_lr_stress_test
VGG-A,vgg_a,0.05,5,1760,0.8262392282485962,2.3384289741516113,3.318023681640625,0.7589204954624176,0.7304,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.0001,5,1760,1.9454277753829956,3.4037528038024902,15.623427391052246,1.7292679689407349,0.3776,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.0005,5,1760,1.4236178398132324,3.3973143100738525,11.489605903625488,1.3023149608612061,0.5296,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.001,5,1760,1.2278000116348267,3.3973143100738525,10.3292875289917,1.1057140672683716,0.6098,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.002,5,1760,0.9985904693603516,3.3973143100738525,8.764798164367676,0.9549921979904175,0.6532,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.005,5,1760,0.9339220523834229,3.3973143100738525,7.029098033905029,0.832928121471405,0.7002,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.01,5,1760,0.7804176211357117,3.3973143100738525,5.209639549255371,0.7572072030067444,0.7274,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.02,5,1760,0.8380815982818604,3.3973143100738525,4.818713665008545,0.7837193496227265,0.7288,True,False,none,0.05,short_lr_stress_test
VGG-A-BN,vgg_a_bn,0.05,5,1760,1.0238515138626099,3.4732768535614014,2.89701771736145,1.0154377373695374,0.6374,True,False,none,0.05,short_lr_stress_test
